year	title	id
1994	'The Shawshank Redemption'	1	                              
1972	'The Godfather'	2	                              
1974	'The Godfather: Part II'	3	                              
2008	'The Dark Knight'	4	                              
1993	'Schindler s List'	5	                              
1957	'12 Angry Men'	6	                              
1994	'Pulp Fiction'	7	                              
2003	'The Lord of the Rings: The Return of the King'	8	                              
1966	'The Good, the Bad and the Ugly'	9	                              
1999	'Fight Club'	10	                              
2001	'The Lord of the Rings: The Fellowship of the Ring'	11	                              
1980	'Star Wars: Episode V - The Empire Strikes Back'	12	                              
1994	'Forrest Gump'	13	                              
2010	'Inception'	14	                              
2002	'The Lord of the Rings: The Two Towers'	15	                              
1975	'One Flew Over the Cuckoo s Nest'	16	                              
1990	'Goodfellas'	17	                              
1999	'The Matrix'	18	                              
1954	'Seven Samurai'	19	                              
1977	'Star Wars: Episode IV - A New Hope'	20	                              
2002	'City of God'	21	                              
1995	'Se7en'	22	                              
1991	'The Silence of the Lambs'	23	                              
1946	'It s a Wonderful Life'	24	                              
1995	'The Usual Suspects'	25	                              
1997	'Life Is Beautiful'	26	                              
1994	'Léon: The Professional'	27	                              
1968	'Once Upon a Time in the West'	28	                              
2001	'Spirited Away'	29	                              
1998	'Saving Private Ryan'	30	                              
1998	'American History X'	31	                              
2014	'Interstellar'	32	                              
1942	'Casablanca'	33	                              
1960	'Psycho'	34	                              
1931	'City Lights'	35	                              
1981	'Raiders of the Lost Ark'	36	                              
2011	'The Intouchables'	37	                              
1954	'Rear Window'	38	                              
1936	'Modern Times'	39	                              
1999	'The Green Mile'	40	                              
1991	'Terminator 2: Judgment Day'	41	                              
2002	'The Pianist'	42	                              
2006	'The Departed'	43	                              
1985	'Back to the Future'	44	                              
2014	'Whiplash'	45	                              
2000	'Gladiator'	46	                              
2000	'Memento'	47	                              
1979	'Apocalypse Now'	48	                              
2006	'The Prestige'	49	                              
1964	'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb'	50	                              
1994	'The Lion King'	51	                              
1950	'Sunset Boulevard'	52	                              
1979	'Alien'	53	                              
1940	'The Great Dictator'	54	                              
2006	'The Lives of Others'	55	                              
1988	'Cinema Paradiso'	56	                              
2012	'Django Unchained'	57	                              
1980	'The Shining'	58	                              
1957	'Paths of Glory'	59	                              
1988	'Grave of the Fireflies'	60	                              
2008	'WALL·E'	61	                              
2012	'The Dark Knight Rises'	62	                              
1999	'American Beauty'	63	                              
2016	'Captain America: Civil War'	64	                              
1986	'Aliens'	65	                              
1997	'Princess Mononoke'	66	                              
2003	'Oldboy'	67	                              
1941	'Citizen Kane'	68	                              
1959	'North by Northwest'	69	                              
1984	'Once Upon a Time in America'	70	                              
1981	'Das Boot'	71	                              
1958	'Vertigo'	72	                              
1957	'Witness for the Prosecution'	73	                              
1983	'Star Wars: Episode VI - Return of the Jedi'	74	                              
1931	'M'	75	                              
1992	'Reservoir Dogs'	76	                              
2001	'Amélie'	77	                              
1995	'Braveheart'	78	                              
2000	'Requiem for a Dream'	79	                              
1971	'A Clockwork Orange'	80	                              
1976	'Taxi Driver'	81	                              
1944	'Double Indemnity'	82	                              
2010	'Toy Story 3'	83	                              
1962	'Lawrence of Arabia'	84	                              
1962	'To Kill a Mockingbird'	85	                              
2004	'Eternal Sunshine of the Spotless Mind'	86	                              
1987	'Full Metal Jacket'	87	                              
1984	'Amadeus'	88	                              
1973	'The Sting'	89	                              
1968	'2001: A Space Odyssey'	90	                              
1948	'Bicycle Thieves'	91	                              
1952	'Singin  in the Rain'	92	                              
2000	'Snatch.'	93	                              
