"","filename","model","vin","price","mileage","color","transmission","engine_displacement","name_seller","street","phone","website"
"1","1.txt","2012 Chevrolet Camaro SS","2G1FT1EW1C9106920","$29,896","16,324","Exterior: BlackInterior: Black",NA,"6.2","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"2","2.txt","2013 Chevrolet Equinox LT","2GNFLNEK7D6324351","$18,797","61,095","Exterior: Summit WhiteInterior: Light Titanium",NA,"2.4","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"3","3.txt","2013 Nissan Altima 2","1N4AL3AP5DN569028","$15,792","40,880","Exterior: Super BlackInterior: Charcoal","CVT ","2.5","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"4","4.txt","2009 Infiniti M35x X","JNKCY01F29M851648","$18,288","76,108","Exterior: Blue SlateInterior: Graphite","Automatic 5-Speed","3.5","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"5","5.txt","2013 Infiniti G37x X","JN1CV6AR2DM763007","$26,389","14,942","Exterior: Black ObsidianInterior: Graphite","Automatic 7-Speed","3.7","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"6","6.txt","2012 Acura MDX 3","2HNYD2H20CH537485","$28,996","35,230","Exterior: Aspen White Pearl IiInterior: Parchment","Automatic 6-Speed","3.7","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"7","7.txt","2010 Toyota Yaris","JTDBT4K31A1368794",NA,"94,227","Exterior: Gray","Automatic 4-Speed","1.5","Rt 9 Auto Sales ","1221 Worcester Rd Framingham, MA 01701","(508) 213-4680","www.rt9autos.com"
"8","8.txt","2012 Acura RDX Base","5J8TB1H28CA000511","$24,995","36,641","Exterior: Bellanova White PearlInterior: Taupe","Automatic 5-Speed","2.3","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"9","9.txt","2014 Chevrolet Cruze 1LT Auto","1G1PC5SB1E7464908","$15,995","7,914","Exterior: Tungsten MetallicInterior: Jet Black","Automatic 6-Speed","1.4","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"10","10.txt","2009 Lexus IS 250","JTHCK262695031859",NA,"81,136","Exterior: WhiteInterior: Tan","Automatic 6-Speed","2.5","Rt 9 Auto Sales ","1221 Worcester Rd Framingham, MA 01701","(508) 213-4680","www.rt9autos.com"
"11","11.txt","2013 Toyota Camry SE","4T1BF1FK4DU269358","$14,995","52,017","Exterior: Classic Silver MetallicInterior: Black","Automatic 6-Speed","2.5","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"12","12.txt","2014 Honda CR-Z","JHMZF1D48ES002209","$16,495","17,629","Exterior: North Shore Blue PearlInterior: Black","CVT ","1.5","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"13","13.txt","2008 BMW 335 xi","WBAVD53548A285108",NA,"93,378","Exterior: GrayInterior: Black",NA,"3.0","Rt 9 Auto Sales ","1221 Worcester Rd Framingham, MA 01701","(508) 213-4680","www.rt9autos.com"
"14","14.txt","2013 Nissan Juke SL","JN8AF5MV7DT211274","$21,677","21,221","Exterior: Graphite BlueInterior: Black","CVT ","1.6","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"15","15.txt","2013 Dodge Durango SXT","1C4RDJAG8DC693420","$26,495","23,581","Exterior: Bright White ClearcoatInterior: Medium Graystone","Automatic 5-Speed","3.6","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"16","16.txt","2012 Toyota Camry 4dr Sedan I4 Automatic SE","4T1BF1FK2CU592080","$16,991","$500","27,197","Exterior: Attitude Black MetallicInterior: Black","6-Speed AutomaticFafama Auto Sales",NA,"Fafama Auto Sales ","5 Cape Rd Milford, MA 01757","(508) 232-6214"
"17","17.txt","2012 Toyota Venza LE","4T3ZA3BBXCU060002","$17,896","34,963","Exterior: BlackInterior: Light Gray","Automatic 6-Speed","2.7","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"18","18.txt","2014 Nissan Juke S","JN8AF5MV2ET364209","$18,797","25,693","Exterior: Cayenne RedInterior: Black","CVT ","1.6","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"19","19.txt","2012 Toyota Corolla","2T1BU4EE7CC880942",NA,"39,335","Exterior: BlackInterior: Gray",NA,"1.8","Rt 9 Auto Sales ","1221 Worcester Rd Framingham, MA 01701","(508) 213-4680","www.rt9autos.com"
"20","20.txt","2012 Honda Pilot EX-L","5FNYF4H56CB028710","$26,789","30,015","Exterior: Alabaster Silver MetallicInterior: Gray","Automatic 5-Speed","3.5","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"21","21.txt","2013 Ford Fusion 4dr Sedan SE FWD","3FA6P0HR4DR305750","$14,644","$500","32,321","Exterior: Bordeaux ReserveInterior: Charcoal Black","6-Speed Automatic","1.6","Fafama Auto Sales ","5 Cape Rd Milford, MA 01757","(508) 232-6214"
"22","22.txt","2012 Toyota Corolla LE","2T1BU4EE7CC880942","$13,288","38,920","Exterior: Black Sand PearlInterior: Ash",NA,"1.8","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"23","23.txt","2012 Nissan Rogue SL","JN8AS5MV7CW366271","$18,488","42,795","Exterior: Brilliant Silver MetallicInterior: Black","CVT ","2.5","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"24","24.txt","2013 Chrysler 200 Touring","1C3CCBBG9DN623897",NA,"46,752","Exterior: BlackInterior: Black",NA,"3.6","Rt 9 Auto Sales ","1221 Worcester Rd Framingham, MA 01701","(508) 213-4680","www.rt9autos.com"
"25","25.txt","2013 Mazda Mazda3 i","JM1BL1TG1D1814382","$12,797","32,055","Exterior: Black MicaInterior: Black",NA,"2.0","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"26","26.txt","2012 Acura TSX 4dr Sedan I4 Automatic","JH4CU2F4XCC010060","$18,644","$500","35,817","Exterior: Bellanova White PearlInterior: Tan","5-Speed Automatic","2.4","Fafama Auto Sales ","5 Cape Rd Milford, MA 01757","(508) 232-6214"
"27","27.txt","2013 Toyota Corolla LE","5YFBU4EE2DP121617","$12,389","53,335","Exterior: Black Sand PearlInterior: Ash","Manual 5-Speed","1.8","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"28","28.txt","2014 Volkswagen Beetle 2","3VWFP7AT5EM620903","$14,998","35,283","Exterior: Black UniInterior: Black","Automatic 6-Speed","2.5","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"29","29.txt","2010 Mercedes-Benz C300","WDDGF8BB7AR122979",NA,"82,212","Exterior: SilverInterior: Black","Automatic 7-Speed","3.0","Rt 9 Auto Sales ","1221 Worcester Rd Framingham, MA 01701","(508) 213-4680","www.rt9autos.com"
"30","30.txt","2012 MINI Cooper Base","WMWSX1C53CT507069","$15,998","19,618","Exterior: Midnight Black MetallicInterior: Carbon Black",NA,"1.6","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"31","31.txt","2011 Nissan Maxima 4dr Sedan V6 CVT 3","1N4AA5AP3BC861691","$18,991","$500","58,989","Exterior: Winter Frost PearlInterior: Cafe Latte","CVT","3.5","Fafama Auto Sales ","5 Cape Rd Milford, MA 01757","(508) 232-6214"
"32","32.txt","2013 Ford Edge SEL","2FMDK4JC9DBB23565","$25,277","36,634","Exterior: Tuxedo Black MetallicInterior: Charcoal Black","Automatic 6-Speed","3.5","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"33","33.txt","2012 Honda CR-V EX","5J6RM4H55CL049629","$19,995","31,187","Exterior: Urban Titanium MetallicInterior: Black","Automatic 5-Speed","2.4","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"34","34.txt","2008 Toyota Tundra 5","5TBRV54158S480224",NA,"77,528","Exterior: WhiteInterior: Gray Cloth","Automatic 6-Speed","5.7","Rt 9 Auto Sales ","1221 Worcester Rd Framingham, MA 01701","(508) 213-4680","www.rt9autos.com"
"35","35.txt","2013 Mercedes-Benz C300 C300","WDDGF8AB3DR267300","$29,595","30,403","Exterior: BlackInterior: Black","Automatic 7-Speed","3.5","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"36","36.txt","2012 Cadillac SRX Luxury","3GYFNDE39CS560709","$25,497","32,811","Exterior: GrayInterior: Titanium","Automatic 6-Speed","3.6","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"37","37.txt","2012 Hyundai Tucson FWD 4dr Automatic GL","KM8JT3AB8CU503572","$13,991","$500","43,893","Exterior: Ash BlackInterior: Gray","6-Speed Automatic","2.0","Fafama Auto Sales ","5 Cape Rd Milford, MA 01757","(508) 232-6214"
"38","38.txt","2008 Mitsubishi Lancer GTS","JA3AU86U28U042903","$10,797","76,511","Exterior: Tarmac Black PearlInterior: Black",NA,"2.0","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"39","39.txt","2012 Nissan Maxima 3","1N4AA5AP5CC802370","$20,458","41,155","Exterior: Super BlackInterior: Charcoal","CVT ","3.5","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"40","40.txt","2014 Ford Mustang V6","1ZVBP8EM1E5299939",NA,"32,452","Exterior: BlackInterior: Gray",NA,"3.7","Rt 9 Auto Sales ","1221 Worcester Rd Framingham, MA 01701","(508) 213-4680","www.rt9autos.com"
"41","41.txt","2013 Nissan Rogue SL","JN8AS5MV3DW106242","$19,998","44,782","Exterior: Graphite Blue MetallicInterior: Black","CVT ","2.5","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"42","42.txt","2012 Honda Civic LX","2HGFB2F50CH558421","$13,277","28,715","Exterior: Crystal Black PearlInterior: Stone","Automatic 5-Speed","1.8","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"43","43.txt","2012 Ford Econoline Cargo Van E-250 Commercial","1FTNE2EL1CDA17375","$17,991","$500","83,737","Exterior: Oxford WhiteInterior: Medium flint","4-Speed Automatic","5.4","Fafama Auto Sales ","5 Cape Rd Milford, MA 01757","(508) 232-6214"
"44","44.txt","2012 Nissan Frontier","1N6AD0EV4CC409471",NA,"72,989","Exterior: SilverInterior: Gray Cloth",NA,"4.0","Rt 9 Auto Sales ","1221 Worcester Rd Framingham, MA 01701","(508) 213-4680","www.rt9autos.com"
"45","45.txt","2012 Kia Soul 5dr Wagon Automatic ","KNDJT2A69C7391199","$11,644","$500","57,122","Exterior: Bright Silver MetallicInterior: Black seat trim","6-Speed Automatic","2.0","Fafama Auto Sales ","5 Cape Rd Milford, MA 01757","(508) 232-6214"
"46","46.txt","2013 Nissan Altima 4dr Sedan I4 2","1N4AL3AP7DC902471","$16,991","$500","32,723","Exterior: Pearl WhiteInterior: Charcoal","Automatic","2.5","Fafama Auto Sales ","5 Cape Rd Milford, MA 01757","(508) 232-6214"
"47","47.txt","2012 Chrysler Town ","2C4RC1BG2CR364168","$19,991","$500","25,292","Exterior: True Blue PearlInterior: Black","6-Speed Automatic","3.6","Fafama Auto Sales ","5 Cape Rd Milford, MA 01757","(508) 232-6214"
"48","48.txt","2012 Toyota RAV4 4WD 4dr I4","2T3BF4DV2CW206196","$17,644","$500","38,208","Exterior: Classic Silver MetallicInterior: Gray","4-Speed Automatic","2.5","Fafama Auto Sales ","5 Cape Rd Milford, MA 01757","(508) 232-6214"
"49","49.txt","2014 Ford Fiesta 5dr Hatchback SE","3FADP4EJXEM107699","$12,644","$500","23,378","Exterior: Tuxedo Black MetallicInterior: Charcoal Black","5-Speed Automatic","1.6","Fafama Auto Sales ","5 Cape Rd Milford, MA 01757","(508) 232-6214"
"50","50.txt","2011 Mercedes-Benz C-Class 4dr Sedan C300 Sport 4MATIC","WDDGF8BB8BR177605","$18,644","$500","59,517","Exterior: Iridium Silver MetallicInterior: Black","7-Speed Automatic","3.0","Fafama Auto Sales ","5 Cape Rd Milford, MA 01757","(508) 232-6214"
