"","filename","model","model_year","vin","price","mileage","color","transmission","engine_displacement","name_seller","street","phone","website"
"1","1.txt"," Chevrolet Camaro SS","2012 ","2G1FT1EW1C9106920","$29,896","16,324","Exterior: BlackInterior: Black",NA,"6.2","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"2","2.txt"," Chevrolet Equinox LT","2013 ","2GNFLNEK7D6324351","$18,797","61,095","Exterior: Summit WhiteInterior: Light Titanium",NA,"2.4","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"3","3.txt"," Nissan Altima 2.5 SV","2013 ","1N4AL3AP5DN569028","$15,792","40,880","Exterior: Super BlackInterior: Charcoal","CVT ","2.5","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"4","4.txt"," Infiniti M35x X","2009 ","JNKCY01F29M851648","$18,288","76,108","Exterior: Blue SlateInterior: Graphite","Automatic 5-Speed","3.5","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"5","5.txt"," Infiniti G37x X","2013 ","JN1CV6AR2DM763007","$26,389","14,942","Exterior: Black ObsidianInterior: Graphite","Automatic 7-Speed","3.7","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"6","6.txt"," Acura MDX 3.7L","2012 ","2HNYD2H20CH537485","$28,996","35,230","Exterior: Aspen White Pearl IiInterior: Parchment","Automatic 6-Speed","3.7","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"7","7.txt"," Toyota Yaris","2010 ","JTDBT4K31A1368794",NA,"94,227","Exterior: Gray","Automatic 4-Speed","1.5","Rt 9 Auto Sales ","1221 Worcester Rd Framingham, MA 01701","(508) 213-4680","www.rt9autos.com"
"8","8.txt"," Acura RDX Base","2012 ","5J8TB1H28CA000511","$24,995","36,641","Exterior: Bellanova White PearlInterior: Taupe","Automatic 5-Speed","2.3","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"9","9.txt"," Chevrolet Cruze 1LT Auto","2014 ","1G1PC5SB1E7464908","$15,995","7,914","Exterior: Tungsten MetallicInterior: Jet Black","Automatic 6-Speed","1.4","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"10","10.txt"," Lexus IS 250","2009 ","JTHCK262695031859",NA,"81,136","Exterior: WhiteInterior: Tan","Automatic 6-Speed","2.5","Rt 9 Auto Sales ","1221 Worcester Rd Framingham, MA 01701","(508) 213-4680","www.rt9autos.com"
