"","Year_of_publication","Authors","titile_publication","title_journal","volume","url"
"1","2016"," Wang, J.L., Chiou, J., Müller, H.G. "," Review of Functional Data Analysis","Annual Review of Statistics and Its Application","3","http://anson.ucdavis.edu/~mueller/Review151106.pdf"
"2","2016","  Müller, H.G., Petersen, A.  ","  Density estimation including examples"," Wiley StatsRef: Statistics Reference Online (WSR) (pdf)",NA,"http://anson.ucdavis.edu/~mueller/encycl5-1.pdf"
"3","2016"," Petersen, A., Müller, H.G. ","  Fr&eacutechet integration and adaptive metric selection forinterpretable covariances of multivariate functional data","Biometrika","103","http://anson.ucdavis.edu/~mueller/fun-corrFinal.pdf"
"4","2016"," Petersen, A., Müller, H.G. "," Functional data analysis for density functions by transformation to a Hilbert space","Annals of Statistics","44","http://anson.ucdavis.edu/~mueller/densrev2.pdf"
"5","2016"," Chen, K., Delicado, P., Müller, H.G. "," Modeling function-valued stochastic processes, with applications to fertility dynamics","J. Royal Statistical Society B",NA,"http://anson.ucdavis.edu/~mueller/spt_jrssb8.pdf"
"6","2016"," Chiou, J., Müller, H.G. "," A pairwise interaction model for multivariate functional and longitudinal data","Biometrika","103","http://anson.ucdavis.edu/~mueller/pwi.pdf"
"7","2016"," Papadopoulos, N.T., Carey, J.R., Ioannou, C.S., Hao, J., Müller, H.G., Wang, J.L., Luckhart, S., Lewis, E. ","Seasonality of post-capture longevity in a medically-important mosquito (Culex pipiens)","Frontiers in Ecology and Evolution","4","http://journal.frontiersin.org/article/10.3389/fevo.2016.00063/full"
"8","2016"," Petersen, A., Zhao, J., Carmichael, O., Müller, H.G. ","     Connectivity threshold functions for network representation and visualization, with applications to brainnetworks","Brain Connectivity",NA,"https://www.ncbi.nlm.nih.gov/pubmed/27267074"
"9","2016"," Carey, J.R., Liedo, P.,   Xu, C., Wang, J.L.,  Müller, H.G., Su, Y.R., Vaupel, J.W. ","Diet shapes mortality response to trauma in old tephritid fruit flies","PLOS One","11","http://journals.plos.org/plosone/article/asset?id=10.1371%2Fjournal.pone.0158468.PDF"
"10","2016","  Ji, H.,  Müller, H.G. "," Optimal designs for longitudinal studies via functional data analysis","J. Royal Statistical Society B",NA,"http://anson.ucdavis.edu/~mueller/f-optdes23.pdf"
"11","2015"," Harwood, J.F., Chen, K., Liedo, P.,  Müller, H.G., Wang, J.L., Morice, A.E., Carey, J.R. "," Female access and diet affect insemination success, senescence, and the cost of reproduction in male Mexican fruit flies (Anastrepha ludens)","Physiological Entomology","40",NA
"12","2015","   Hadjipantelis, P.Z., Aston, J.A.D., Müller, H.G., Evans, J. "," Unifying amplitude and phase analysis: A compositional data approach to functional multivariate mixed-effects modelingof Mandarin Chinese","J. American Statistical Association","110","http://anson.ucdavis.edu/~mueller/unifying.pdf"
"13","2015"," Chen, K., Zhang, X., Petersen, A., Müller, H.G. "," Quantifying infinite-dimensional data: Functional Data Analysis in action","Statistics in Biosciences",NA,"http://anson.ucdavis.edu/~mueller/BigDataFDA_090415_submit.pdf"
"14","2014"," Chiou, J., Müller,  H.G. "," Linear manifold modeling of multivariate functional data","J. Royal Statistical Society","B 76","http://anson.ucdavis.edu/~mueller/mfda22.pdf"
"15","2014"," Peng, J., Paul, D., Müller,  H.G. "," Time-warped growth processes, with applications to the modeling of boom-bust cycles in house prices","Annals of Applied Statistics","8","http://anson.ucdavis.edu/~mueller/dynwarp-final.pdf"
"16","2014"," Chen, K., Müller,  H.G. "," Modeling conditional distributions for functional responses, with application to traffic monitoring via GPS-enabled mobile phones","Technometrics","56","http://anson.ucdavis.edu/~mueller/traffic11.pdf"
"17","2014"," Zhou, R.R., Serban, N., Gebraeel, N., Müller,  H.G. "," A functional time warping approach to modeling and monitoring truncated degradation signals","Technometrics","56","http://anson.ucdavis.edu/~mueller/nicoleta1.pdf"
"18","2014"," Hadjipantelis, P.Z., Aston, J.A.D., Müller,  H.G., Moriarty, J. "," Analysis of spike train data: A multivariate mixed effects model for phase and amplitude","Electronic J. Statistics","8","http://anson.ucdavis.edu/~mueller/ejs-article.pdf"
"19","2014"," Arribas-Gil, A.,  Müller,  H.G. "," Pairwise dynamic time warping for event data","Computational Statistics and Data Analysis ","69","http://anson.ucdavis.edu/~mueller/pairwise-DTW.pdf"
