,address,place,price,lon,lat
1,4935 MASSACHUSETTS AVE NW,AMERICAN UNIV. PARK,1025470,-77.0979119,38.947269
2,4931 MASSACHUSETTS AVE NW,AMERICAN UNIV. PARK,1031060,-77.097784,38.947175
3,4923 MASSACHUSETTS AVE NW,AMERICAN UNIV. PARK,909050,-77.097565,38.947016
4,4901 MASSACHUSETTS AV NW,AMERICAN UNIV. PARK,1274120,-77.097133,38.946567
5,4911 MASSACHUSETTS AVE NW,AMERICAN UNIV. PARK,932490,-77.0973419,38.9466848
6,4410 49TH ST NW,AMERICAN UNIV. PARK,867250,-77.097044,38.946783
7,4440 49TH ST NW,AMERICAN UNIV. PARK,970200,-77.097094,38.947565
8,4919 MASSACHUSETTS AVE NW,AMERICAN UNIV. PARK,1006740,-77.0974619,38.946941
9,5047 MASSACHUSETTS AVE NW,AMERICAN UNIV. PARK,975000,-77.098337,38.947578
10,4420 49TH ST NW,AMERICAN UNIV. PARK,1188830,-77.0970282,38.9472361
11,5053 MASSACHUSETTS AV,AMERICAN UNIV. PARK,1414610,-77.0989687,38.9476244
12,4918 ALBEMARLE ST NW,AMERICAN UNIV. PARK,889300,-77.097678,38.947612
13,4900 ALBEMARLE ST NW,AMERICAN UNIV. PARK,758190,-77.097094,38.947702
14,4922 ALBEMARLE ST NW,AMERICAN UNIV. PARK,927640,-77.0978354,38.94773
15,4927 MASSACHUSETTS AV NW,AMERICAN UNIV. PARK,934780,-77.097668,38.947091
16,4914 ALBEMARLE ST NW,AMERICAN UNIV. PARK,1113660,-77.097537,38.947561
17,4924 ALBEMARLE ST NW,AMERICAN UNIV. PARK,696610,-77.098341,38.947719
18,4416 49TH ST NW,AMERICAN UNIV. PARK,647290,-77.097093,38.947097
19,4910 ALBEMARLE ST NW,AMERICAN UNIV. PARK,937190,-77.097396,38.94751
20,4424 49TH ST NW,AMERICAN UNIV. PARK,804080,-77.097094,38.947345
21,4915 MASSACHUSETTS AV NW,AMERICAN UNIV. PARK,1037030,-77.0973549,38.946863
22,4926 ALBEMARLE ST NW,AMERICAN UNIV. PARK,712330,-77.098507,38.947703
23,4943 MASSACHUSETTS AV NW,AMERICAN UNIV. PARK,1021310,-77.098131,38.947428
24,4939 MASSACHUSETTS AV NW,AMERICAN UNIV. PARK,996300,-77.098028,38.947353
25,4436 49TH ST NW,AMERICAN UNIV. PARK,775000,-77.097001,38.9474542
26,5001 MASSACHUSETTS AV NW,AMERICAN UNIV. PARK,1080010,-77.098234,38.947503
27,ALBEMARLE ST NW,AMERICAN UNIV. PARK,129360,-77.0770432,38.9479004
28,4923 ALBEMARLE ST NW,AMERICAN UNIV. PARK,1276080,-77.0978462,38.9481179
29,5009 ALBEMARLE ST NW,AMERICAN UNIV. PARK,933930,-77.099067,38.94812
30,5125 MASSACHUSETTS AVE NW,AMERICAN UNIV. PARK,852780,-77.100013,38.948596
31,4960 BUTTERWORTH PL NW,AMERICAN UNIV. PARK,1020200,-77.099192,38.94861
32,4924 BUTTERWORTH PL NW,AMERICAN UNIV. PARK,1057470,-77.097881,38.9486185
33,4512 49TH ST NW,AMERICAN UNIV. PARK,1093170,-77.097095,38.948423
34,4920 BUTTERWORTH PL NW,AMERICAN UNIV. PARK,1355860,-77.0977319,38.948526
35,4916 BUTTERWORTH PL NW,AMERICAN UNIV. PARK,798000,-77.097556,38.948526
36,5123 MASSACHUSETTS AVE NW,AMERICAN UNIV. PARK,1315200,-77.099801,38.94859
37,4506 49TH ST NW,AMERICAN UNIV. PARK,1023700,-77.097095,38.948244
38,4931 ALBEMARLE ST NW,AMERICAN UNIV. PARK,1008720,-77.0980165,38.9481211
39,5101 MASSACHUSETTS AVE NW,AMERICAN UNIV. PARK,1440740,-77.099234,38.948185
40,4958 BUTTERWORTH PL NW,AMERICAN UNIV. PARK,851690,-77.098945,38.9485249
41,4518 49TH ST NW,AMERICAN UNIV. PARK,1213230,-77.097095,38.9485979
42,4930 BUTTERWORTH PL NW,AMERICAN UNIV. PARK,1008900,-77.098066,38.948526
43,4946 BUTTERWORTH PL NW,AMERICAN UNIV. PARK,972260,-77.0985925,38.9486026
44,4940 BUTTERWORTH PL NW,AMERICAN UNIV. PARK,988480,-77.098453,38.9485249
45,ALBEMARLE ST NW,AMERICAN UNIV. PARK,113200,-77.0770432,38.9479004
46,4935 ALBEMARLE ST NW,AMERICAN UNIV. PARK,1093450,-77.098206,38.948181
47,4915 ALBEMARLE ST NW,AMERICAN UNIV. PARK,890830,-77.097538,38.948182
48,4952 BUTTERWORTH PL NW,AMERICAN UNIV. PARK,834180,-77.098804,38.9485249
49,5111 MASSACHUSETTS AV NW,AMERICAN UNIV. PARK,1157540,-77.0996119,38.9485079
50,4939 ALBEMARLE ST NW,AMERICAN UNIV. PARK,788990,-77.098417,38.948181
51,4936 BUTTERWORTH PL NW,AMERICAN UNIV. PARK,1101690,-77.098277,38.948526
52,5107 MASSACHUSETTS AV NW,AMERICAN UNIV. PARK,1242800,-77.099407,38.948357
53,4910 BUTTERWORTH PL NW,AMERICAN UNIV. PARK,771220,-77.097403,38.948745
54,4947 ALBEMARLE ST NW,AMERICAN UNIV. PARK,969790,-77.098729,38.948181
55,4911 ALBEMARLE ST NW,AMERICAN UNIV. PARK,929900,-77.097397,38.948182
56,4919 ALBEMARLE ST NW,AMERICAN UNIV. PARK,897250,-77.097678,38.948181
57,4901 ALBEMARLE ST NW,AMERICAN UNIV. PARK,1156850,-77.0970232,38.9480886
58,4943 ALBEMARLE ST NW,AMERICAN UNIV. PARK,761550,-77.0985929,38.948181
59,4951 ALBEMARLE ST NW,AMERICAN UNIV. PARK,836390,-77.098878,38.94818
60,4973 BUTTERWORTH PL NW,AMERICAN UNIV. PARK,865210,-77.099821,38.949004
61,4944 BRANDYWINE ST NW,AMERICAN UNIV. PARK,621970,-77.098559,38.949418
62,BRANDYWINE ST,AMERICAN UNIV. PARK,41630,-77.0758259,38.9497722
63,4540 49TH ST NW,AMERICAN UNIV. PARK,880870,-77.097097,38.949532
64,49TH ST NW,AMERICAN UNIV. PARK,42980,-77.096766,38.94424
65,4536 49TH ST NW,AMERICAN UNIV. PARK,787400,-77.0970959,38.949411
66,49TH ST NW,AMERICAN UNIV. PARK,50900,-77.096766,38.94424
67,4513 WESTERN AVE NW,AMERICAN UNIV. PARK,996430,-77.1001346,38.9495198
68,4517 WESTERN AVE NW,AMERICAN UNIV. PARK,918950,-77.1000095,38.9496166
69,4967 BUTTERWORTH PL NW,AMERICAN UNIV. PARK,895320,-77.099438,38.949072
70,4916 BRANDYWINE ST NW,AMERICAN UNIV. PARK,966880,-77.097751,38.949419
71,4922 BRANDYWINE ST NW,AMERICAN UNIV. PARK,1034220,-77.0978825,38.9494987
72,4910 BRANDYWINE ST NW,AMERICAN UNIV. PARK,955820,-77.097416,38.949419
